Variable,Curve_Type,R_squared,Parameters,Parameter_Errors
Telomere_Length,Linear,0.6777618430192972,"[-39.463043490739274, 7390.945607862909]","[2.2754771564581833, 119.53004913273872]"
Telomere_Length,Exponential,0.6777463657739091,"[-16917277.906106677, 2.3324424264479778e-06, 16924668.78663414]","[5152258999.6076975, 0.0007102860704037364, 5152259044.271832]"
Telomere_Length,Logarithmic,0.7233484811775754,"[-814.1542047495233, 8333.16374265047]","[42.10477942618229, 151.4939114452424]"
Telomere_Length,Polynomial,0.7848727220287521,"[-0.00044724011533872447, 0.6944114483592077, -94.61396364751249, 8017.316042847625]","[0.003287287508195643, 0.4298078852248198, 15.11195288743356, 134.67404185885584]"
Telomere_Length,Power,0.7618414134546362,"[-939.2957519118265, 0.35834429347678226, 9025.753914270039]","[435.25040448222194, 0.08177300494332092, 540.4569144927416]"
mutation_rate_normalized_by_length,Linear,0.516139019883618,"[0.00025628937440364826, 0.013019471130121626]","[2.075102436605876e-05, 0.0010900443120401729]"
mutation_rate_normalized_by_length,Exponential,0.516131141575997,"[90.6447469638448, 2.826970373043001e-06, -90.63172702340285]","[77338.9164951685, 0.0024116984338988143, 77338.91658049238]"
mutation_rate_normalized_by_length,Logarithmic,0.4431035745190507,"[0.004742209587299002, 0.008709500555017345]","[0.00044457733088303796, 0.0015995989060651331]"
mutation_rate_normalized_by_length,Polynomial,0.5556087652772247,"[-7.588116546034337e-08, 7.484447506047185e-06, 0.00013371959869141765, 0.012068765196943027]","[3.516152772618063e-08, 4.597316800522971e-06, 0.00016164068862790167, 0.0014405027791982398]"
mutation_rate_normalized_by_length,Power,0.5285135580640368,"[0.001125442552845189, 0.6831156470814745, 0.01007611116308132]","[0.0008813147985382383, 0.16412589223338644, 0.002231090333194002]"
composite_score,Linear,0.6778726112756577,"[24.012342174421107, -4390.130405521749]","[1.3842237236498933, 72.7128056001455]"
composite_score,Exponential,0.7783506141382882,"[-2296.1631598339914, -0.03180774952734876, -2504.6191561644127]","[126.25499996641499, 0.004847203702825055, 121.74126215363685]"
composite_score,Logarithmic,0.7210318656169055,"[494.5595291659966, -4960.679787397829]","[25.724718228807852, 92.55809508867945]"
composite_score,Polynomial,0.7834495407084928,"[0.0001586866278898251, -0.4051508013395607, 56.868840320758984, -4766.665584761508]","[0.0020066790870212643, 0.26237029298796344, 9.224883926346212, 82.20991598292699]"
composite_score,Power,0.721021118274418,"[-9547891.040278284, -5.180213661312878e-05, 9542930.368278505]","[7170480684.590636, 0.03890798172453195, 7170480655.166703]"
g_strand_mutations_sum_per_1k,Linear,0.5082681642583536,"[0.6273745916497885, 97.7249289706743]","[0.05160319803325151, 2.7106986080539603]"
g_strand_mutations_sum_per_1k,Exponential,0.5082611518675024,"[220347.61470934915, 2.846860224621446e-06, -220249.88887620473]","[182066542.03502035, 0.002349457796310897, 182066543.16694242]"
g_strand_mutations_sum_per_1k,Logarithmic,0.4291066576696727,"[11.511819534046623, 87.49536923048001]","[1.1103778974163245, 3.9951638216170937]"
g_strand_mutations_sum_per_1k,Polynomial,0.5355537697744014,"[-0.00013479853301137063, 0.012335552932999332, 0.48999781288924377, 95.10297158785718]","[8.867188451131577e-05, 0.011593715228528596, 0.40763257173093953, 3.632723178140734]"
g_strand_mutations_sum_per_1k,Power,0.5184682095285111,"[2.457942244108947, 0.7068302266148924, 91.21388048666837]","[1.9854015724756677, 0.1701797504759375, 5.373157974193913]"
c_strand_mutations_sum_per_1k,Linear,0.14444927099029659,"[0.7353813500187147, 203.03709195475633]","[0.14966139825008623, 7.8616628536576085]"
c_strand_mutations_sum_per_1k,Exponential,0.16051278133170355,"[14.186567708293857, 0.020455799150605244, 194.74293986140765]","[24.08164088091611, 0.01643453892052453, 31.05517039984468]"
c_strand_mutations_sum_per_1k,Logarithmic,0.05761176029900161,"[9.2745185104746, 205.0460106051086]","[3.136770256394329, 11.28616755171161]"
c_strand_mutations_sum_per_1k,Polynomial,0.19884297210351098,"[-0.0005727893589628862, 0.08636864340206878, -2.690076849378936, 224.8911747819737]","[0.00025606575183572707, 0.033480211502068605, 1.1771571745216265, 10.490540467148948]"
c_strand_mutations_sum_per_1k,Power,0.16795079962002124,"[0.0073393297978083215, 2.0430694242321183, 210.76440255689715]","[0.02930464729601696, 0.8941457492131879, 8.532430918816184]"
